INFO 2024-10-22 12:56:39,261 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-22 12:56:39,430 autoreload File /usr/lib/python3/dist-packages/idna/package_data.py first seen with mtime 1634081418.0
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/db/backends/sqlite3/creation.py first seen with mtime 1729519783.324364
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1729503325.2718198
DEBUG 2024-10-22 12:56:39,430 autoreload File /usr/lib/python3.10/os.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/admin/templatetags/admin_modify.py first seen with mtime 1729519782.9403517
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1729519783.2983632
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/core/handlers/exception.py first seen with mtime 1729519783.3103635
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/auth/__init__.py first seen with mtime 1729519782.980353
DEBUG 2024-10-22 12:56:39,430 autoreload File /usr/lib/python3.10/encodings/aliases.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1729503325.27082
DEBUG 2024-10-22 12:56:39,430 autoreload File /usr/lib/python3.10/email/mime/base.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/auth/tokens.py first seen with mtime 1729519782.9833531
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/db/models/functions/datetime.py first seen with mtime 1729519783.3333642
DEBUG 2024-10-22 12:56:39,430 autoreload File /usr/lib/python3.10/gettext.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/staticfiles/management/commands/__init__.py first seen with mtime 1729519783.3003633
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/views/generic/list.py first seen with mtime 1729519783.3633652
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/rest_framework/validators.py first seen with mtime 1729505593.9499958
DEBUG 2024-10-22 12:56:39,430 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/oauth2_provider/__init__.py first seen with mtime 1729519784.116389
DEBUG 2024-10-22 12:56:39,431 autoreload File /usr/lib/python3/dist-packages/chardet/eucjpprober.py first seen with mtime 1605650645.0
DEBUG 2024-10-22 12:56:39,431 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/db/models/sql/__init__.py first seen with mtime 1729519783.3333642
DEBUG 2024-10-22 12:56:39,431 autoreload File /usr/lib/python3/dist-packages/requests/exceptions.py first seen with mtime 1608147266.0
DEBUG 2024-10-22 12:56:39,431 autoreload File /usr/lib/python3/dist-packages/bcrypt/_bcrypt.abi3.so first seen with mtime 1648201866.0
DEBUG 2024-10-22 12:56:39,431 autoreload File /usr/lib/python3/dist-packages/cryptography/hazmat/backends/interfaces.py first seen with mtime 1629825437.0
DEBUG 2024-10-22 12:56:39,431 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/messages/utils.py first seen with mtime 1729519783.19536
DEBUG 2024-10-22 12:56:39,431 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/sqlparse/cli.py first seen with mtime 1729503325.2698197
DEBUG 2024-10-22 12:56:39,431 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/db/utils.py first seen with mtime 1729519783.3173637
DEBUG 2024-10-22 12:56:39,431 autoreload File /usr/lib/python3.10/sre_constants.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,431 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/rest_framework/renderers.py first seen with mtime 1729505593.9479957
DEBUG 2024-10-22 12:56:39,431 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/core/files/__init__.py first seen with mtime 1729519783.3073635
DEBUG 2024-10-22 12:56:39,431 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/sqlparse/exceptions.py first seen with mtime 1729503325.2698197
DEBUG 2024-10-22 12:56:39,431 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/template/response.py first seen with mtime 1729519783.3503647
